fmpo,skos:exactMatch seko,owl:deprecated,skos:prefLabel_fi,skos:prefLabel_sv,skos:prefLabel_en,skos:altLabel,alt_lang,skos:hiddenLabel,hidden_lang,spatial-uri,dct:spatial,skos:topConceptOf,skos:broader,skos:broader_Label,editorial_issue_URL,YSO-ID,wikidata-id,skos:editorialNote,H&S_notation,H&S-ID,MIMO-ID,dbpedia,SEKO-LCMPT-mapping,LCMPT-ID,rdfs:seeAlso,dct:isReplacedBy ,skos:related,skos:definition,skos:scopeNote,skos:changeNote,skos:historyNote,skos:modified,seko:statusNote,skos:noteSeko1,iconclass-uri
fmpo:00028,http://urn.fi/urn:nbn:fi:au:seko:00028,,alasin,städ,anvil,,,,,,,,fmpo:00627,lyömäsoitin,,,http://www.wikidata.org/entity/Q16632086,,,,,,,,,,,,,,,,TARKISTA,Soittimena käytettävä sepän varuste.,
fmpo:00029,http://urn.fi/urn:nbn:fi:au:seko:00029,,alboka,alboka,alboka,,,,,http://www.yso.fi/onto/yso/p138291,Baskimaa,,fmpo:00715,oboesoitin,,,https://www.wikidata.org/entity/Q313053,,,,,,,lcmpt:mp2013015008,https://musik-instrument.se/alboka/,,,,,,,,TARKISTA,Baskimaalainen kaksoislehdykkäsoitin.,
fmpo:00029,,,,,,albogue,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00030,http://urn.fi/urn:nbn:fi:au:seko:00030,,algaita,algaita,algaita,,,,,http://www.yso.fi/onto/yso/p118210,Länsi-Afrikka,,fmpo:00715,oboesoitin,,,https://www.wikidata.org/entity/Q2646434,,,,,,,,,,,,,,,,TARKISTA,Länsiafrikkalainen oboetyyppinen puhallinsoitin.,
fmpo:00031,http://urn.fi/urn:nbn:fi:au:seko:00031,,algoja,algoja,alghoza,,,,,"http://www.yso.fi/onto/yso/p235078,http://www.yso.fi/onto/yso/p105965",Pohjois-Intia|Pakistan,,fmpo:01134,tulppakanavahuilu,,,https://www.wikidata.org/entity/Q568883,,,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015009,,,,,,,,,TARKISTA,Pohjois-Intiassa ja Pakistanissa käytettävä huilusoitin.,
fmpo:00032,http://urn.fi/urn:nbn:fi:au:seko:00032,,alppitorvi,alphorn,alphorn,,,,,http://www.yso.fi/onto/yso/p115088,Alpit,,fmpo:00819,puutrumpetti,,http://www.yso.fi/onto/yso/p29787,http://www.wikidata.org/entity/Q685206,,423.121.22,http://www.mimo-db.eu/HornbostelAndSachs/347,http://www.mimo-db.eu/InstrumentsKeywords/4372,https://dbpedia.org/page/Alphorn,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015010,,,,"""Yksinkertainen paimentorvi (luonnonsäveltorvi), jota käytetään Alppien alueella.""@fi, ""Enkelt vallhorn som används i Alperna.""@sv, ""Simple long wooden horn with a cup-shaped mouthpiece used in the European Alps.""@en",,,,2026-08-04,valid,"Yksinkertainen paimentorvi (luonnonsäveltorvi), jota käytetään Alppien alueella.",
fmpo:00032,,,,,,alpenhorn,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00032,,,,,,alpine horn,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00032,,,,,,Alphorn,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00032,,,,,,corno alpino,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00032,,,,,,corno svizzero,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00032,,,,,,Cor des Alpes,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,http://urn.fi/urn:nbn:fi:au:seko:00033,,altto,alt,alto voice,,,,,,,,fmpo:00654,matala lauluääni,,http://www.yso.fi/onto/yso/p29967,http://www.wikidata.org/entity/Q37137,"""2026-08-04 corrected prefLabels, added altLabels, checked mappings""@en",,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015017,,,,"""Matalin naisääni laulumusiikin äänialana (g-e'' tai laajempi). Käsitettä ei käytetä ilmaisemaan erilaisia alttoäänisiä soittimia tai yleensä soittimen äänialan korkeutta. (YSO)""@fi, ""Den lägsta kvinnliga rösten som röstläge i vokalmusik (g-e'' eller vidare). Begreppet används inte för att ange instruments tonhöjd. (ALLFO)""@sv, ",,,,2026-08-04,KESKEN,Termillä tarkoitetaan lauluäänen äänialaa.,
fmpo:00033,,,,,,A (altto),fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,,,,,,contralto,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,,,,,,kontraalt,sv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,,,,,,kontra-altto,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,,,,,,alto (vocal registers),en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,,,,,,atl (sångstämmor),sv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,,,,,,alto (singer),en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,,,,,,contralto voice,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,,,,,,alttoääni,fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00033,,,,,,altto (aanialat),fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00034,http://urn.fi/urn:nbn:fi:au:seko:00034,,alttochalumeau,altchalumeau,alto chalumeau,,,,,,,,fmpo:00198,chalumeau,,,http://www.wikidata.org/entity/Q116189361,,,,,,skos:broadMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015125,,,,,,,,,TARKISTA,"Alttokokoinen chalumeau, jonka ääniala on c'–f'' tai c'–fis''.",
fmpo:00034,,,,,,alt chalumeau,sv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00034,,,,,,alt-chalimou,sv,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00034,,,,,,Altchalumeau,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00034,,,,,,Quart-Chalumeau,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00034,,,,,,secont chalimou,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00035,http://urn.fi/urn:nbn:fi:au:seko:00035,,alttogamba,altgamba,alto viol,,,,,,,,fmpo:01185,viola da gamba,,,http://www.wikidata.org/entity/Q52769618,,,,,,,,,,,,,,,,TARKISTA,Alttoäänialainen viola da gamba.,
fmpo:00035,,,,,,alto viola da gamba,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,http://urn.fi/urn:nbn:fi:au:seko:00036,,alttohuilu,altflöjt,alto flute,,,,,,,,fmpo:00417,huilu,,,http://www.wikidata.org/entity/Q544352,,,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015012,,,,,,,,,TARKISTA,,
fmpo:00036,,,,,,altfluit,nl,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,altfløjte,da,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,altfløyte,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,alto flüt,tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,flauta alto,sp,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,flauta contralto,pt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,flauto contralto,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,flûte alto,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,flûte en sol,fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,G-fløjte,da,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,Quartflöte,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,,,altflojt,sv,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,,,altflojte,da,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,,,altfloyte,no,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,,,alto flut,fr,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,,,flute alto,fr,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,,,flute en sol,fr,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,,,G-flojte,da,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00036,,,,,,,,Quartflote,de,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00037,http://urn.fi/urn:nbn:fi:au:seko:00037,,alttoklarinetti,altklarinett,alto clarinet,,,,,,,,fmpo:00512,klarinetti,,,http://www.wikidata.org/entity/Q656766,,,,,,skos:exactMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015011,,,,,,,,,TARKISTA,Yleensä Es-vireinen alttokokoinen klarinetti.,
fmpo:00038,http://urn.fi/urn:nbn:fi:au:seko:00038,,alttonokkahuilu,altblockflöjt,treble recorder,,,,,,,,fmpo:00704,nokkahuilu,,,https://www.wikidata.org/entity/Q15791824,,,,,,skos:closeMatch,http://id.loc.gov/authorities/performanceMediums/mp2013015014,,,,,,,,,TARKISTA,"Alttokokoinen nokkahuilu, jonka ääniala alkaa f':stä.",
fmpo:00038,,,,,,Altblockflöte,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00038,,,,,,,,Altblockflote,de,,,,,,,,,,,,,,,,,,,,,,,,,,
fmpo:00039,http://urn.fi/urn:nbn:fi:au:seko:00039,,alttopasuuna,alttrombon,alto trombone,,,,,,,,fmpo:00752,pasuuna,,,https://www.wikidata.org/entity/Q94698251,"""2023-10-30:  MUUSA ratkaisu  (kirjattu Valmiit Versio 253: Korjattu määritelmä""",,,,,skos:closeMatch,"http://id.loc.gov/authorities/performanceMediums/mp2013015016, http://id.loc.gov/authorities/performanceMediums/mp2013015607",,,,"""Alttoääninen pasuuna, joka on äänialaltaan tenori- ja sopraanopasuunan välissä. Alttopasuuna soi Es- tai F-vireessä.""@fi",,"""2023-10-30:  changed definition to _Alttoääninen pasuuna, joka on äänialaltaan tenori- ja sopraanopasuunan välissä. Alttopasuuna soi Es- tai F-vireessä._""",,2026-07-05,modified,,
