Leisiö-id	class	taso1	taso2	taso3	H-S	soitin	finna: äänite/esine	seko	notes	seko:hierarkia	skos:definition	soitin	mh-definition	Luokka	alaluokka	ryhmä	tyyppi
L024	A.1.4.4.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut; Umpinaiset osiorunkoiset		umpinainen kynäpiisku		#N/A	kynäpiisku								
L025	A.1.4.4.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut; Umpinaiset osiorunkoiset		umpinainen metallipyypilli		#N/A									
L026	A.2.1.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Siirtotulppaiset huilut; Avonaiset siirtotulppahuilut		siirtotulppainen luonnonsävelhuilu		#N/A				Siirtotulppainen luonnonsävelhuilu	Siirtotulppainen luonnonsävelhuilu (pajupilli, putki- ja nukkahuilu) on molemmista päistään avonainen soitin. Sormiaukottoman, noin 2 cm paksun, huilun pituus on 30-80 cm. Huilu on valmistettu pajun kuoriputkesta tai putkikasvista.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Siirtotulppaiset huilut	Avonaiset
L027	A:1.1.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Pääpuhalteiset, kiinteätulppaiset kanavahuilut		siirtotulppainen sormiaukkohuilu		#N/A				Siirtotulppainen sormiaukkohuilu	Siirtotulppainen sormiaukkohuilu (huilu, putkihuilu) on pajun kuoriputkesta, ruo’on varresta tai putkikasvista valmistettu 30-80 cm pitkä soitin. Huilun puhalluspää on viisto ja sen päällä on puolipyöreä särmäaukko. Huilu, jonka tulppa muodostuu soittajan alahuulesta tai kielestä, asetetetaan soitettaessa vinosti alaspäin. Huilun alapää voi olla umpinainen tai avonainen.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Siirtotulppaiset huilut	
L028	A.2.1.2.	Huilut	Sylinterimäiset tulppakanavahuilut	Siirtotulppaiset huilut; Avonaiset siirtotulppahuilut		mäntyhuilu		http://urn.fi/urn:nbn:fi:au:seko:00814	> puuhuilu	huilusoitin > puuhuilu	Suomalainen kansanomainen puhallinsoitin.	Mäntyhuilu	Mäntyhuilu on puurunkoinen, molemmista päistään avonainen huilu, jossa on 2-8 sormiaukkoa. Huilun vinoksi leikatussa puhalluspäässä on ovaalinmuotoinen särmäaukko, ja tulpan muodostaa soittajan kieli tai alahuuli. Perinteisesti vääntötekniikalla valmistetun huilun pituus on noin 30 cm.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Siirtotulppaiset huilut	Avonaiset
L029	A.2.2.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Siirtotulppaiset huilut; Umpinaiset siirtotulppahuilut		siirtotulppainen putkipill		#N/A				Siirtotulppainen putkipilli	Siirtotulppainen putkipilli (putkipilli) on sormiaukoton, putkikasvista tai kuoriputkesta valmistettu 5-10 cm pitkä huilu, jonka alapää on umpinainen. Viistoksi leikatun puhalluspään tulpan muodostaa soittajan alahuuli, ja ääni syntyy puhallusilman halkoessa puoliympyrän muotoisen särmäaukon suoraa sivua.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Siirtotulppaiset huilut	Umpinaiset
L030	A.2.2.1.	Huilut	Sylinterimäiset tulppakanavahuilut	Siirtotulppaiset huilut; Umpinaiset siirtotulppahuilut		siirtotulppainene pajupilli		#N/A				Siirtotulppainen pajupilli	Siirtotulppainen pajupilli (pajupilli) on sormiaukoton kuoriputkesta valmistettu 5-10 cm pitkä huilu, jonka alapää on umpinainen.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Siirtotulppaiset huilut	Umpinaiset
L031	A.3.1.1.1	Huilut	Sylinterimäiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut; yksisärmäiset, avonaiset		pitkähuilu		http://urn.fi/urn:nbn:fi:au:seko:00782		huilusoitin > reunahuilu > pitkähuilu	Suomalainen kansanomainen, pajunkuoresta tehty sormiaukoton huilu, jonka soittaminen perustuu putkesta saataviin yläsävelsarjoihin.	Pitkähuilu	Pitkähuilu (pajupilli) on kuoriputkesta valmistettu, alhaalta avoin huilusoitin. Sivupuhalteisen huilun puhalluspäässä on tulppa, jonka koveraksi vuoltu pinta ohjaa ilman särmäaukkoon.  Sormiaukottoman huilun pituus on 30-80 cm ja paksuus 1-4 cm. Pitkähuiluja on perinteisesti valmistettu pajun, haavan ja lepän oksista, mutta nykyään niitä tehdään myös muoviputkesta.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut	
L032	A.3.1.1.1	Huilut	Sylinterimäiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut; yksisärmäiset, avonaiset		sormiaukollinen pitkähuilu		#N/A				Sormiaukollinen pitkähuilu	Sormiaukollinen pitkähuilu (pajupilli) on kuoriputkesta valmistettu, alapäästään avoin huilu, jonka pituus on 25-30 cm. Tämä sivupuhalteinen  huilu voidaan valmistaa mm. pajusta ja pihlajasta. Sormiaukollinen pitkähuilu on oletettavasti ollut harvinaisempi kuin lajin sormiaukoton versio, jolla melodioita muodostetaan puhalluksen voimakkuutta ja alapään sulkemista eriasteisesti muuttelemalla.	Huilut	Sylinterimäiset tai kartiomaiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut	
L033	A.3.1.1.2	Huilut	Sylinterimäiset tulppakanavahuilut	Sivupuhalteiset tulppakanavahuilut; yksisärmäiset, avonaiset		avoin sivupuhalteinen puuhuilu		http://urn.fi/urn:nbn:fi:au:seko:00814	puuhuilu	huilusoitin > puuhuilu	Suomalainen kansanomainen puhallinsoitin.	Avoin sivupuhalteinen puuhuilu	Avoin sivupuhalteinen puuhuilu rakennetaan puuputkesta, joka on perinteisesti valmistettu vääntötekniikalla männystä.  Aikaisemmin huilut olivat yleensä vain 10-15 cm pitkiä johtuen putken valmistustekniikasta. Huilun puhalluspäässä pitkähuilun tapaan putken ulkopuolelle ulottuva tulppa. Nykyään puuhuilu voidaan rakentaa mistä tahansa puulajista poraamalla tai halkaisutekniikalla. 	Huilut			
